timestamp,status,source
2026-05-10 18:07:41.536579,NORMAL,192.168.1.50
2026-05-10 18:07:43.603976,NORMAL,EXTERNAL_ATTACKER
2026-05-10 18:07:45.664296,NORMAL,192.168.1.50
2026-05-10 18:07:47.699373,NORMAL,192.168.1.50
2026-05-10 18:07:49.760335,NORMAL,192.168.1.50
2026-05-10 18:07:51.821346,NORMAL,192.168.1.50
2026-05-10 18:07:53.866367,NORMAL,EXTERNAL_ATTACKER
2026-05-10 18:07:55.919857,NORMAL,192.168.1.50
2026-05-10 18:07:57.983041,NORMAL,192.168.1.50
2026-05-10 18:08:00.056527,NORMAL,192.168.1.50
2026-05-10 18:08:02.090935,NORMAL,192.168.1.50
2026-05-10 18:08:04.155752,NORMAL,192.168.1.50
2026-05-10 18:08:06.209029,NORMAL,192.168.1.50
2026-05-10 18:08:08.276924,NORMAL,EXTERNAL_ATTACKER
2026-05-10 18:08:10.332274,NORMAL,EXTERNAL_ATTACKER
2026-05-10 18:08:12.403557,NORMAL,192.168.1.50
2026-05-10 18:08:14.506779,NORMAL,192.168.1.50
2026-05-10 18:08:16.580151,NORMAL,192.168.1.50
2026-05-10 18:08:18.665901,NORMAL,192.168.1.50
2026-05-10 18:08:20.698660,NORMAL,192.168.1.50
2026-05-10 18:08:22.731362,NORMAL,192.168.1.50
2026-05-10 18:08:24.782968,NORMAL,192.168.1.50
2026-05-10 18:08:26.838108,NORMAL,EXTERNAL_ATTACKER
2026-05-10 18:08:28.883522,NORMAL,192.168.1.50
2026-05-10 18:08:30.956258,NORMAL,EXTERNAL_ATTACKER
2026-05-10 18:08:33.014386,NORMAL,192.168.1.50
2026-05-10 18:08:35.047918,NORMAL,192.168.1.50
2026-05-10 18:08:37.094668,NORMAL,192.168.1.50
2026-05-10 18:08:39.146834,NORMAL,192.168.1.50
2026-05-10 18:08:41.195665,NORMAL,192.168.1.50
2026-05-10 18:08:43.237436,NORMAL,192.168.1.50
2026-05-10 18:08:45.288263,NORMAL,192.168.1.50
2026-05-10 18:08:47.352065,NORMAL,EXTERNAL_ATTACKER
2026-05-10 18:08:49.423176,NORMAL,192.168.1.50
2026-05-10 18:08:51.497903,NORMAL,EXTERNAL_ATTACKER
2026-05-10 18:08:53.560703,NORMAL,192.168.1.50
2026-05-10 18:08:55.633233,NORMAL,192.168.1.50
2026-05-10 18:08:57.663177,NORMAL,192.168.1.50
2026-05-10 18:08:59.735771,NORMAL,192.168.1.50
2026-05-10 18:09:01.811501,NORMAL,192.168.1.50
2026-05-10 18:09:03.844639,NORMAL,192.168.1.50
2026-05-10 18:09:05.889691,NORMAL,192.168.1.50
2026-05-10 18:09:07.937313,NORMAL,192.168.1.50
2026-05-10 18:09:09.987770,NORMAL,192.168.1.50
2026-05-10 18:09:12.036213,NORMAL,192.168.1.50
2026-05-10 18:09:14.096333,NORMAL,192.168.1.50
2026-05-10 18:09:16.149104,NORMAL,192.168.1.50
2026-05-10 18:09:18.198692,NORMAL,192.168.1.50
2026-05-10 18:09:20.267947,NORMAL,192.168.1.50
2026-05-10 18:09:22.325595,NORMAL,192.168.1.50
2026-05-10 18:09:24.397824,NORMAL,EXTERNAL_ATTACKER
2026-05-10 18:09:26.469980,NORMAL,EXTERNAL_ATTACKER
2026-05-10 18:09:28.528937,NORMAL,192.168.1.50
2026-05-10 18:09:30.563577,NORMAL,EXTERNAL_ATTACKER
2026-05-10 18:09:32.623852,NORMAL,192.168.1.50
2026-05-10 18:09:34.674238,NORMAL,192.168.1.50
2026-05-10 18:09:36.746075,NORMAL,192.168.1.50
2026-05-10 18:09:38.777457,NORMAL,192.168.1.50
2026-05-10 18:09:40.834542,NORMAL,192.168.1.50
2026-05-10 18:09:42.871223,NORMAL,192.168.1.50
2026-05-10 18:09:44.939779,NORMAL,192.168.1.50
2026-05-10 18:09:47.002134,NORMAL,EXTERNAL_ATTACKER
2026-05-10 18:09:49.040425,NORMAL,192.168.1.50
2026-05-10 18:09:51.079453,NORMAL,192.168.1.50
2026-05-10 18:09:53.115209,NORMAL,192.168.1.50
2026-05-10 18:09:55.147500,NORMAL,EXTERNAL_ATTACKER
2026-05-10 18:09:57.183307,NORMAL,192.168.1.50
2026-05-10 18:09:59.215610,NORMAL,192.168.1.50
2026-05-10 18:10:01.251658,NORMAL,192.168.1.50
2026-05-10 18:10:03.298181,NORMAL,192.168.1.50
2026-05-10 18:10:05.386179,NORMAL,192.168.1.50
2026-05-10 18:10:07.459614,NORMAL,192.168.1.50
2026-05-10 18:10:09.510387,NORMAL,EXTERNAL_ATTACKER
2026-05-10 18:10:11.567921,NORMAL,192.168.1.50
2026-05-10 18:10:13.632096,NORMAL,192.168.1.50
2026-05-10 18:10:15.685546,NORMAL,192.168.1.50
2026-05-10 18:10:17.722387,NORMAL,192.168.1.50
2026-05-10 18:10:19.773385,NORMAL,192.168.1.50
2026-05-10 18:10:21.850133,NORMAL,192.168.1.50
2026-05-10 18:10:23.893929,NORMAL,192.168.1.50
2026-05-10 18:10:25.928138,NORMAL,192.168.1.50
2026-05-10 18:10:28.017308,NORMAL,192.168.1.50
2026-05-10 18:10:30.069475,NORMAL,EXTERNAL_ATTACKER
2026-05-10 18:10:32.116793,NORMAL,192.168.1.50
2026-05-10 18:10:34.169406,NORMAL,192.168.1.50
2026-05-10 18:10:36.203271,NORMAL,192.168.1.50
2026-05-10 18:10:38.268861,NORMAL,EXTERNAL_ATTACKER
2026-05-10 18:10:40.340713,NORMAL,192.168.1.50
2026-05-10 18:10:42.413529,NORMAL,192.168.1.50
